Product Desc,Qty,Total Cost,Total Cost %,Total Profit,Total Profit %,Branch,Service Type,Category,Section,RevenueFixed,ProfitMargin
1 SHOT DECAFE,404.0,3856.85,0.0,-3856.85,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,0.0,
2 SHOT DECAFE,637.0,12162.45,0.0,-12162.45,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,0.0,
3 SHOT DECAFE,113.0,3236.32,0.0,-3236.32,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,0.0,
ADD BANANA SAUCE LARGE,4.0,139.97,52.49,126.69,47.51,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,266.65999999999997,0.47509937748443715
ADD BANANA SAUCE MEDIUM,47.0,822.34,55.29,665.04,44.71,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,1487.38,0.4471217846145571
ADD BANANA SAUCE SMALL,28.0,489.91,54.82,403.82,45.18,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,893.73,0.45183668445727454
ADD CARAMEL DRIZZLE,700.0,2349.38,10.05,21020.99,89.95,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,23370.370000000003,0.899471852606527
ADD CARAMEL LARGE,313.0,2690.19,25.65,7798.31,74.35,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,10488.5,0.743510511512609
ADD CARAMEL MEDIUM,1142.0,8923.01,23.74,28661.32,76.26,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,37584.33,0.7625869611085258
ADD CARAMEL SF LARGE,236.0,3097.89,39.27,4791.63,60.73,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,7889.52,0.6073411310193776
ADD CARAMEL SF MEDIUM,851.0,8378.09,29.38,20134.91,70.62,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,28513.0,0.7061659593869463
ADD CARAMEL SF SMALL,848.0,5565.71,19.48,23001.5,80.52,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,28567.21,0.8051713835547819
ADD CARAMEL SMALL,552.0,2875.37,22.71,9787.07,77.29,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,12662.439999999999,0.7729213326973317
ADD CHOCOLATE DRIZZLE,227.0,748.5,9.72,6955.46,90.28,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,7703.96,0.9028421746738041
ADD FULL FAT MILK,20.0,67.12,0.0,-67.12,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,0.0,
ADD HAZELNUT LARGE,104.0,1126.27,31.9,2404.27,68.1,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,3530.54,0.6809921428450039
ADD HAZELNUT MEDIUM,324.0,3189.78,29.87,7487.88,70.13,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,10677.66,0.7012660077207927
ADD HAZELNUT SMALL,283.0,1857.42,20.47,7215.46,79.53,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,9072.880000000001,0.795277794922891
