Description,Qty,Total Amount,Group,Division,Branch
ESPRESSO,3313.0,500103.75,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
DOUBLE ESPRESSO,3200.0,498631.33,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
AMERICANO SMALL,902.0,176816.53,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
AMERICANO MEDIUM,657.0,152807.36,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
AMERICANO LARGE,334.0,88443.43,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
BLACK COFFEE SMALL,823.0,133384.23,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
BLACK COFFEE MEDIUM,307.0,62723.78,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
BLACK COFFEE LARGE,86.0,19908.92,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
SINGLE ESPRESSO MACC,32.0,5156.93,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
DOUBLE ESPRESSO MAC,35.0,6595.68,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
TRIPLE ESPRESSO,197.0,7654.17,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
SINGLE LONGO,49.0,8386.67,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
DOUBLE LONGO,124.0,22702.34,BLACK COFFEE,HOT BAR SECTION,Stories - Bir Hasan
LATTE SMALL,2306.0,450232.62,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
LATTE MEDIUM,2972.0,692532.04,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
CAPPUCCINO SMALL,761.0,156288.19,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
CAPPUCCINO MEDIUM,727.0,173038.73,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
MOCHA SMALL,318.0,71402.39,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
MOCHA MEDIUM,309.0,83249.79,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA SMALL,2803.0,516236.82,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA MEDIUM,1880.0,494665.9,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
CARAMEL MACHIATO SMALL,863.0,198199.66,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
CARAMEL MACHIATO MEDIUM,886.0,238232.93,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
SIGNATURE HOT CHOCOLATE SMALL,571.0,126013.54,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
SIGNATURE HOT CHOCOLATE MEDIUM,449.0,122577.42,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
STEAMED MILK SMALL,37.0,3913.27,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
STEAMED MILK MEDIUM,12.0,2040.69,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
LATTE LARGE,643.0,178481.32,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
MOCHA  LARGE,60.0,18357.75,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
CAPPUCCINO LARGE,193.0,54282.16,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
STEAMED MILK LARGE,1.0,200.0,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA LARGE,317.0,98680.75,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
